順番 文法                       意味                                               例文
095. ～てこそ                   只有...才                                          生活費を自分で稼いでこそ、自立していると言える。
096. ～ないまでも               即使没有...也至少                                  毎日はしないまでも、週に一回くらいは部屋の掃除をしよう。
097. ～てまでも                 甚至...                                            そのジャーナリストは危険を冒してまでも戦場に行こうとしている。
098. ～てみせる                 决心要...                                          今度こそ合格してみせるよ。
099. ～とみえて                 看上去...                                          田中さんは忙しいと見えて、この頃電話もしてこない。
100. ～なりとも                 最起码                                             歌舞伎については、多少なりとも知っています。
101. ～にはおよばない           (1)不必，用不着(2)不及，比不上                     その相談は社長が乗り出すには及ばない。
102. ～(Aく/naで)もなんでもない 并不，并没有                                       彼のこと、好きでもなんでもない。
103. ～やしない                 完全不，「～はしない」                             最近、息子は私の言うことなど、聞きやしない。
104. ～ようがない               无法...                                            こんなところで地震が起きたら、逃げようがない。
105. ～言わずもがな             (1)言わないほうがいい(2)自不必说，...也            皆の前で言わずもかなのことを言ってしまって後悔している。
106. ～だに                     连...都                                            地震のことなど想像するだに恐ろしい。
107. ～てもはじまらない         即使...也无济于事                                  こういうところに至っては、どう悔んで(くやむ)も始まらない。
108. ～とまではいかないが       即使没有达到高标准，但也达到了仅次于前项的标准     絶対とまではいかないが、成功する確率は高いと思う。
109. ～におうところがおおきい   得益于，多亏了(おかげで)                           この研究の成功はチームメンバーの協力に負うところが大きい。
110. ～におかれましては         书信，表达敬意                                     貴社におかれましてはますますご清栄のこととお慶び申し上げます。
111. ～にしくはない             不如，最好                                         逃げるに如くはない。
112. ～にもほどがある           ...也要有度                                        冗談にもほどがある。
113. ～によるところがおおきい   得益于(おかげで)；原因是(せいで)                   今の不況は金融政策の失敗によるところが大きい。
114. ～をないがしろにして       不重视...                                          社員の福祉を蔑ろにして、目の前の利益だけを求めてはいけない。
115. ～きらいがある             有...倾向(消极)                                    彼は人の話を聞かない嫌いがある。
116. ～かぎり(は)               只要...就                                          生きている限り、嬉しいことも悲しいことも必ずある。
117. ～ないかぎり               除非...否则就...                                   資金の問題を解決しないかぎり、この工事を続けられない。
118. ～にきまっている           一定...,肯定...                                    実力から見て、Aチームが勝つに決まっている。
119.
